,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
17,17,Full on missing values,False,0,0.5,0,0.568840579710145,0.5809178743961352,0.3888888888888889,0.8333333333333334,0.30434782608695654,0.30434782608695654
18,18,Full on missing values,False,0,0.5,0,0.5489130434782609,0.45772946859903374,0.39999999999999997,0.75,0.34782608695652173,0.34782608695652173
19,19,Full on missing values,False,0,0.5,0,0.4818840579710145,0.4740338164251208,0.18750000000000003,0.8333333333333334,0.13043478260869565,0.13043478260869565
20,20,Full on missing values,False,0,0.5,0,0.5111633372502937,0.5857814336075206,0.2,0.8918918918918919,0.13043478260869565,0.13043478260869565
21,21,Full on missing values,False,0,0.5,0,0.5694444444444444,0.5127314814814814,0.27586206896551724,0.9722222222222222,0.16666666666666666,0.16666666666666666
22,22,Full on missing values,False,0,0.5,0,0.4861111111111111,0.5873842592592593,0.13333333333333333,0.8888888888888888,0.08333333333333333,0.08333333333333333
23,23,Full on missing values,False,0,0.5,0,0.611111111111111,0.6614583333333333,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.3333333333333333
24,24,Full on missing values,False,0,0.5,0,0.5138888888888888,0.5243055555555556,0.14285714285714285,0.9444444444444444,0.08333333333333333,0.08333333333333333
25,25,Full on missing values,False,0,0.5,0,0.5833333333333334,0.5532407407407408,0.4210526315789474,0.8333333333333334,0.3333333333333333,0.3333333333333333
26,26,Full on missing values,False,0,0.5,0,0.5314009661835748,0.43055555555555564,0.25806451612903225,0.8888888888888888,0.17391304347826086,0.17391304347826086
27,27,Full on missing values,False,0,0.5,0,0.4818840579710145,0.5138888888888888,0.18750000000000003,0.8333333333333334,0.13043478260869565,0.13043478260869565
28,28,Full on missing values,False,0,0.5,0,0.568840579710145,0.5410628019323671,0.3888888888888889,0.8333333333333334,0.30434782608695654,0.30434782608695654
29,29,Full on missing values,False,0,0.5,0,0.46014492753623193,0.5048309178743962,0.12903225806451613,0.8333333333333334,0.08695652173913043,0.08695652173913043
30,30,Full on missing values,False,0,0.5,0,0.5082256169212691,0.5981198589894241,0.08,0.972972972972973,0.043478260869565216,0.043478260869565216
31,31,Full on missing values,False,0,0.5,0,0.5,0.5509259259259259,0.3076923076923077,0.75,0.25,0.25
